Site_plot,Site,Plot,Acacia_bslar,Eucalyptus_bslar,Pine_bslar,Tot_bas_ar,Lat.deci..N.,Long.Deci..E.,Canopy,Acacia mearnsii,Cestrum aurantiacum,Eucalyptus spp,Ipomea purpurea,Pinus radiata,Solanum mauritianum,Ageratina adenophora,Ageratum conyzoides,Ageratum houstonianum,Urena lobata,Malvaceae,Lantana camara,Solanum anguivi,Meliaceae,Clitoria ternetea,Desmodium uncinatum,Asparagus racemosus,Oxalis corniculata,Urticaceae,Asteraceae,Achyranthes aspera,Apiaceae,Tridax procumbens,Pteridium aquilinum,Fire,Foliage_density,TCI_2x2,Elevation,Slope,TRI,shlbfr5ha,Sine.aspect,Cosine.aspect,TWI,Ann.Temp,Temp.seasonality,Ann.prec,Mxtmp_hotmnths,Mntmp_cldmnths,Prec_seasnlty,Prec_drymnths,Prec_cldmnths,Tot_ct_tree,ln_shlbfr5ha,rds_lngth_5ha,TPI,Type1,Agerat_Eupat
BGS746_2,BGS746,2,0,0.019138382,0,0.019138382,10.132555,77.0704054,77,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,6.466153622,1716,25.46273804,39.19183731,14912,-0.402164992,-0.915567212,-1.280933857,17.25,104.9,3010.6,24.95,10.65,59.2,32.7,403.7,2,9.609988595,0,1.75,Eucalyptus,6
BGT732_1,BGT732,1,0,0.038992961,0,0.038992961,10.1314226,77.0575743,47.6,0,0,0,0,0,0,11,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0.1,42,-10.29641533,1451,7.055989742,10.29563046,19548,-0.826926541,-0.562309965,0.328504086,17.85000038,103.7,3219.2,25.55,11.35,60.4,33.7,415.5,1,9.880679413,97,0,Eucalyptus,11
BGT732_2,BGT732,2,0,0.082330852,0,0.082330852,10.1318035,77.0576798,63.8,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,21,-3.54192996,1454,13.2205286,24.26932144,22846,-0.99617471,0.087383901,-0.587786674,17.85000038,103.7,3219.2,25.55,11.35,60.4,33.7,415.5,5,10.0365751,3,-4.625,Eucalyptus,0
BGW870_7,BGW870,2,0.114591559,0,0,0.114591559,10.1280401,77.1828527,69.8,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,8.41054821,2136,33.21886063,51.96152496,38202,-0.267323063,0.963606963,0.105360508,15.35000038,111.9,2106.2,22.75,8.35,55.7,25.7,324.7,1,10.55066933,0,3.75,Acacia,40
BGZ816_2,BGZ816,2,0,0.016910213,0,0.016910213,10.1259352,77.1342939,37.2,0,0,1,0,0,0,48,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,-6.948649883,1621,31.02093887,50.13980484,0,0.720571868,-0.693380259,-0.587786674,16.64999962,110.3,2330.8,24.25,9.85,56.7,27.7,341.9,2,0,227,-6.25,Eucalyptus,51
BHB840_1,BHB840,1,0,0.502539691,0,0.502539691,10.1242109,77.156779,75.6,0,0,0,0,0,0,36,26,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,7,-6.473779202,1503,12.07318211,19.4935894,0,-0.687744661,0.725952672,0.664976239,17.75,112,2201.2,25.35,10.75,56.8,26,323.4,8,0,270,-3.25,Eucalyptus,63
BHB840_2,BHB840,2,0,0.83634331,0,0.83634331,10.123533,77.1557837,79.2,0,0,1,0,0,0,25,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,2,0.2,6,10.50852871,1515,5.656477451,26.24880981,0,-0.784882788,-0.61964426,-1.280933857,17.75,112,2201.2,25.35,10.75,56.8,26,323.4,13,0,243,6.875,Eucalyptus,25
BHC806_2,BHC806,2,0,0.187500438,0,0.187500438,10.1232934,77.1246716,42.8,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,-15.02016354,1661,25.45093918,38.1051178,0,-0.222360288,-0.974964565,2.120263577,17.14999962,110.4,2459.8,24.75,10.25,57.4,28.8,353.9,8,0,416,-4.25,Eucalyptus,0
BHC806_3,BHC806,4,0,0.203789947,0,0.203789947,10.1222759,77.1255558,60.4,0,0,3,0,0,0,37,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,23,11.87055874,1639,29.81654167,45.16635895,0,-0.19884675,-0.980030597,-0.182321563,17.64999962,110.4,2384.8,25.35,10.85,57.2,28.1,344.9,7,0,509,3.25,Eucalyptus,33
BHC806_5,BHC806,5,0,0.147990224,0,0.147990224,10.1222938,77.1246311,46.8,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,13,0.2,20,1.887758374,1627,24.0163002,34.81378937,0,-0.734099393,-0.679042032,-0.587786674,17.14999962,110.4,2459.8,24.75,10.25,57.4,28.8,353.9,7,0,370,-2,Eucalyptus,0
