,Site_plot,Lat.deci..N.,Long.Deci..E.,Acacia mearnsii,Cestrum aurantiacum,Eucalyptus spp,Ipomea purpurea,Pinus radiata,Solanum mauritianum,Ageratina adenophora,Ageratum conyzoides,Ageratum houstonianum,Urena lobata,Malvaceae,Lantana camara,Solanum anguivi,UID1,Meliaceae,Clitoria ternetea,Berberis tinctoria,Desmodium uncinatum,Asparagus racemosus,Oxalis corniculata,Urticaceae,Asteraceae,Achyranthes aspera,Apiaceae,Tridax procumbens,sp124858,Vincetoxicum sp,Sp12254,Sp120529,sp110222,sp105132,sp122024,sp124847,sp113255,pilea wightii,sp101440,Pteridium aquilinum,No_pic,Site,Tot_bas_ar,Canopy,Fire,TCI_2x2,Slope,TRI,Sine.aspect,Cosine.aspect,TWI,Ann.Temp,Temp.seasonality,Ann.prec,Mxtmp_hotmnths,Mntmp_cldmnths,Prec_seasnlty,Prec_drymnths,Prec_cldmnths,Ln_elevation,Tot_ct_tree,ln_shlbfr5ha,rds_lngth_1ha,TPI,Type2,Moss,Elevation
125,BGC867_2,10.1463098,77.1809217,0,0,0,0,0,0,7,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,BGC867,0.244565443,62.6,0,-10.10906696,16.139328,23.40939903,-0.663487249,-0.74818759,1.021651268,17.85000038,112,2121.4,25.15,10.95,55.2,26.1,330.3,7.347299701,2,0,0,-3.25,Eucalyptus,10,1552
126,BGE887_1,10.1445655,77.1994911,0,0,0,1,0,0,20,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BGE887,3.237211542,70.8,0,11.40742016,23.54434967,32.64965439,-0.458404648,-0.888743595,-0.587786674,17.04999924,113,2071.6,24.35,10.05,54.8,25.9,331.7,7.422373701,4,0,154,2.75,Eucalyptus,15,1673
127,BGE887_2,10.144588,77.1991653,0,0,1,3,0,0,25,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BGE887,0.537601525,64.6,0,11.1675806,19.58103943,26.05762863,-0.933938619,-0.357433429,-1.280933857,17.04999924,113,2071.6,24.35,10.05,54.8,25.9,331.7,7.421177529,5,0,94,0.875,Eucalyptus,10,1671
128,BGF1022_1,10.142873,77.3224571,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BGF1022,0.323442633,66.6,0,7.365439415,26.31490898,38.22303009,-0.77763009,-0.628722072,-0.182321563,13.64999962,118,1721.6,20.65,6.15,54.1,24.4,332.3,7.695303135,4,0,0,4.625,Acacia,10,2198
129,BGF1022_2,10.1423345,77.3223686,5,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,BGF1022,0.27255284,35.6,0,-11.20962906,12.98245811,22.24859619,-0.834772707,-0.550594704,0.328504086,13.64999962,118,1721.6,20.65,6.15,54.1,24.4,332.3,7.685243608,2,0,0,-2.125,Acacia,10,2176
130,BGI890_1,10.140593,77.201692,0,0,8,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BGI890,0.124705856,74.4,0,54.99927521,6.623408318,19.57038498,-0.989949508,-0.141421253,-1.280933857,16.95000076,116.4,2038.4,24.25,9.85,54.7,25.8,330.9,7.454719949,10,10.1948877,0,5.625,Eucalyptus,10,1728
131,BGI916_1,10.1406809,77.2256141,0,0,5,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,BGI916,0.17990079,58,0,26.29039383,8.953972816,13.85640621,0.595846891,-0.803098053,-1.280933857,16.54999924,116.6,1924.7,23.85,9.45,54.3,25,324.3,7.513163545,6,9.057888249,0,2.25,Eucalyptus,10,1832
132,BGI916_2,10.1403404,77.2253881,0,0,3,0,0,0,19,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,BGI916,0.187134382,62.6,0,28.08762741,12.91501999,18.30300522,-0.284088374,-0.9587981,-1.280933857,16.54999924,116.6,1924.7,23.85,9.45,54.3,25,324.3,7.510430556,6,9.3969859,0,2.375,Eucalyptus,10,1827
133,BGI916_3,10.1401284,77.2263005,0,0,0,0,0,0,16,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BGI916,0.087208951,45.2,0,16.43878365,13.95580292,19.46792221,0.991227902,-0.132163707,-1.280933857,16.54999924,116.6,1924.7,23.85,9.45,54.3,25,324.3,7.497761701,5,0,0,0.375,Eucalyptus,10,1804
134,BGI916_5,10.1410554,77.2262902,0,0,6,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,BGI916,0.150870928,61.8,0,17.16481781,19.67760277,34.4528656,0.905596543,0.424140191,-1.280933857,16.54999924,116.6,1924.7,23.85,9.45,54.3,25,324.3,7.502738211,7,0,0,6.125,Eucalyptus,10,1813
